Value,Timestamp
0,2025-08-16T11:12:16.8803200+01:00
1,2025-08-16T11:12:16.9124864+01:00
2,2025-08-16T11:12:16.9431296+01:00
3,2025-08-16T11:12:16.9742080+01:00
4,2025-08-16T11:12:17.0223360+01:00
5,2025-08-16T11:12:17.0541568+01:00
6,2025-08-16T11:12:17.0867712+01:00
7,2025-08-16T11:12:17.1187584+01:00
8,2025-08-16T11:12:17.1506944+01:00
9,2025-08-16T11:12:17.1838336+01:00
10,2025-08-16T11:12:17.2146560+01:00
11,2025-08-16T11:12:17.2462464+01:00
12,2025-08-16T11:12:17.2796672+01:00
13,2025-08-16T11:12:17.3102848+01:00
14,2025-08-16T11:12:17.3437568+01:00
15,2025-08-16T11:12:17.3744128+01:00
16,2025-08-16T11:12:17.4223744+01:00
17,2025-08-16T11:12:17.4557824+01:00
18,2025-08-16T11:12:17.4880512+01:00
19,2025-08-16T11:12:17.5186176+01:00
20,2025-08-16T11:12:17.5503616+01:00
21,2025-08-16T11:12:17.5830272+01:00
22,2025-08-16T11:12:17.6152448+01:00
23,2025-08-16T11:12:17.6478848+01:00
24,2025-08-16T11:12:17.6798464+01:00
25,2025-08-16T11:12:17.7104000+01:00
26,2025-08-16T11:12:17.7424128+01:00
27,2025-08-16T11:12:17.7742976+01:00
28,2025-08-16T11:12:17.8227328+01:00
29,2025-08-16T11:12:17.8565504+01:00
30,2025-08-16T11:12:17.8880896+01:00
31,2025-08-16T11:12:17.9186944+01:00
32,2025-08-16T11:12:17.9507968+01:00
33,2025-08-16T11:12:17.9828352+01:00
34,2025-08-16T11:12:18.0163456+01:00
35,2025-08-16T11:12:18.0476672+01:00
36,2025-08-16T11:12:18.0784256+01:00
37,2025-08-16T11:12:18.1107968+01:00
38,2025-08-16T11:12:18.1431680+01:00
39,2025-08-16T11:12:18.1752576+01:00
40,2025-08-16T11:12:18.2229760+01:00
41,2025-08-16T11:12:18.2548864+01:00
42,2025-08-16T11:12:18.2885376+01:00
43,2025-08-16T11:12:18.3185024+01:00
44,2025-08-16T11:12:18.3517056+01:00
45,2025-08-16T11:12:18.3839744+01:00
46,2025-08-16T11:12:18.4147456+01:00
47,2025-08-16T11:12:18.4469760+01:00
48,2025-08-16T11:12:18.4788864+01:00
49,2025-08-16T11:12:18.5106176+01:00
50,2025-08-16T11:12:18.5429120+01:00
51,2025-08-16T11:12:18.5766784+01:00
52,2025-08-16T11:12:18.6239488+01:00
53,2025-08-16T11:12:18.6546048+01:00
54,2025-08-16T11:12:18.6865152+01:00
55,2025-08-16T11:12:18.7196032+01:00
56,2025-08-16T11:12:18.7504640+01:00
57,2025-08-16T11:12:18.7836928+01:00
58,2025-08-16T11:12:18.8145536+01:00
59,2025-08-16T11:12:18.8482432+01:00
60,2025-08-16T11:12:18.8788352+01:00
61,2025-08-16T11:12:18.9125504+01:00
62,2025-08-16T11:12:18.9426176+01:00
63,2025-08-16T11:12:18.9758464+01:00
64,2025-08-16T11:12:19.0226304+01:00
65,2025-08-16T11:12:19.0565376+01:00
66,2025-08-16T11:12:19.0867072+01:00
67,2025-08-16T11:12:19.1188608+01:00
68,2025-08-16T11:12:19.1523200+01:00
69,2025-08-16T11:12:19.1840128+01:00
70,2025-08-16T11:12:19.2145920+01:00
71,2025-08-16T11:12:19.2466560+01:00
72,2025-08-16T11:12:19.2787712+01:00
73,2025-08-16T11:12:19.3107072+01:00
74,2025-08-16T11:12:19.3430528+01:00
75,2025-08-16T11:12:19.3764736+01:00
76,2025-08-16T11:12:19.4070144+01:00
77,2025-08-16T11:12:19.4551680+01:00
78,2025-08-16T11:12:19.4887296+01:00
79,2025-08-16T11:12:19.5198976+01:00
80,2025-08-16T11:12:19.5506816+01:00
81,2025-08-16T11:12:19.5830144+01:00
82,2025-08-16T11:12:19.6146304+01:00
83,2025-08-16T11:12:19.6471168+01:00
84,2025-08-16T11:12:19.6802688+01:00
85,2025-08-16T11:12:19.7119360+01:00
86,2025-08-16T11:12:19.7425792+01:00
87,2025-08-16T11:12:19.7746304+01:00
88,2025-08-16T11:12:19.8065792+01:00
89,2025-08-16T11:12:19.8550528+01:00
90,2025-08-16T11:12:19.8888576+01:00
91,2025-08-16T11:12:19.9201920+01:00
92,2025-08-16T11:12:19.9510912+01:00
93,2025-08-16T11:12:19.9830400+01:00
94,2025-08-16T11:12:20.0151168+01:00
95,2025-08-16T11:12:20.0469504+01:00
