Value,Timestamp
0,2025-08-16T11:02:47.5832320+01:00
1,2025-08-16T11:02:47.6310656+01:00
2,2025-08-16T11:02:47.6613760+01:00
3,2025-08-16T11:02:47.6925568+01:00
4,2025-08-16T11:02:47.7269376+01:00
5,2025-08-16T11:02:47.7556096+01:00
6,2025-08-16T11:02:47.7876864+01:00
7,2025-08-16T11:02:47.8265600+01:00
8,2025-08-16T11:02:47.8520576+01:00
9,2025-08-16T11:02:47.8840576+01:00
10,2025-08-16T11:02:47.9160064+01:00
11,2025-08-16T11:02:47.9487744+01:00
12,2025-08-16T11:02:47.9800448+01:00
13,2025-08-16T11:02:48.0282624+01:00
14,2025-08-16T11:02:48.0614912+01:00
15,2025-08-16T11:02:48.0917888+01:00
16,2025-08-16T11:02:48.1246336+01:00
17,2025-08-16T11:02:48.1558400+01:00
18,2025-08-16T11:02:48.1888768+01:00
19,2025-08-16T11:02:48.2196608+01:00
20,2025-08-16T11:02:48.2526080+01:00
21,2025-08-16T11:02:48.2840448+01:00
22,2025-08-16T11:02:48.3166848+01:00
23,2025-08-16T11:02:48.3485568+01:00
24,2025-08-16T11:02:48.3799680+01:00
25,2025-08-16T11:02:48.4282112+01:00
26,2025-08-16T11:02:48.4599040+01:00
27,2025-08-16T11:02:48.4919552+01:00
28,2025-08-16T11:02:48.5248000+01:00
29,2025-08-16T11:02:48.5572096+01:00
30,2025-08-16T11:02:48.5882880+01:00
31,2025-08-16T11:02:48.6205184+01:00
32,2025-08-16T11:02:48.6522112+01:00
33,2025-08-16T11:02:48.6842368+01:00
34,2025-08-16T11:02:48.7163264+01:00
35,2025-08-16T11:02:48.7489792+01:00
36,2025-08-16T11:02:48.7806720+01:00
37,2025-08-16T11:02:48.8285440+01:00
38,2025-08-16T11:02:48.8607616+01:00
39,2025-08-16T11:02:48.8924160+01:00
40,2025-08-16T11:02:48.9240064+01:00
41,2025-08-16T11:02:48.9586304+01:00
42,2025-08-16T11:02:48.9887616+01:00
43,2025-08-16T11:02:49.0213120+01:00
44,2025-08-16T11:02:49.0519168+01:00
45,2025-08-16T11:02:49.0841600+01:00
46,2025-08-16T11:02:49.1167744+01:00
47,2025-08-16T11:02:49.1477760+01:00
48,2025-08-16T11:02:49.1806592+01:00
49,2025-08-16T11:02:49.2118144+01:00
50,2025-08-16T11:02:49.2609664+01:00
51,2025-08-16T11:02:49.2926976+01:00
52,2025-08-16T11:02:49.3243264+01:00
53,2025-08-16T11:02:49.3561728+01:00
54,2025-08-16T11:02:49.3879552+01:00
55,2025-08-16T11:02:49.4201600+01:00
56,2025-08-16T11:02:49.4531456+01:00
57,2025-08-16T11:02:49.4852736+01:00
58,2025-08-16T11:02:49.5164544+01:00
59,2025-08-16T11:02:49.5482752+01:00
60,2025-08-16T11:02:49.5803392+01:00
61,2025-08-16T11:02:49.6132224+01:00
62,2025-08-16T11:02:49.6598784+01:00
63,2025-08-16T11:02:49.6918144+01:00
64,2025-08-16T11:02:49.7246464+01:00
65,2025-08-16T11:02:49.7566976+01:00
66,2025-08-16T11:02:49.7878912+01:00
67,2025-08-16T11:02:49.8203520+01:00
68,2025-08-16T11:02:49.8533504+01:00
69,2025-08-16T11:02:49.8856832+01:00
70,2025-08-16T11:02:49.9168640+01:00
71,2025-08-16T11:02:49.9479424+01:00
72,2025-08-16T11:02:49.9810560+01:00
73,2025-08-16T11:02:50.0128768+01:00
74,2025-08-16T11:02:50.0605568+01:00
75,2025-08-16T11:02:50.0926976+01:00
76,2025-08-16T11:02:50.1256448+01:00
77,2025-08-16T11:02:50.1571328+01:00
78,2025-08-16T11:02:50.1883648+01:00
79,2025-08-16T11:02:50.2202368+01:00
80,2025-08-16T11:02:50.2531712+01:00
81,2025-08-16T11:02:50.2839424+01:00
82,2025-08-16T11:02:50.3169152+01:00
83,2025-08-16T11:02:50.3480192+01:00
84,2025-08-16T11:02:50.3813120+01:00
85,2025-08-16T11:02:50.4127616+01:00
86,2025-08-16T11:02:50.4603264+01:00
87,2025-08-16T11:02:50.4922112+01:00
88,2025-08-16T11:02:50.5250176+01:00
89,2025-08-16T11:02:50.5562112+01:00
90,2025-08-16T11:02:50.5889536+01:00
91,2025-08-16T11:02:50.6211072+01:00
92,2025-08-16T11:02:50.6523648+01:00
93,2025-08-16T11:02:50.6845568+01:00
94,2025-08-16T11:02:50.7226112+01:00
95,2025-08-16T11:02:50.7493888+01:00
96,2025-08-16T11:02:50.7814656+01:00
97,2025-08-16T11:02:50.8138496+01:00
98,2025-08-16T11:02:50.8631168+01:00
99,2025-08-16T11:02:50.8935680+01:00
100,2025-08-16T11:02:50.9259136+01:00
101,2025-08-16T11:02:50.9596928+01:00
102,2025-08-16T11:02:50.9890176+01:00
103,2025-08-16T11:02:51.0208896+01:00
104,2025-08-16T11:02:51.0556928+01:00
105,2025-08-16T11:02:51.0851072+01:00
106,2025-08-16T11:02:51.1162112+01:00
107,2025-08-16T11:02:51.1486720+01:00
108,2025-08-16T11:02:51.1805312+01:00
