Value,Timestamp
0,2025-08-16T11:03:27.6625792+01:00
1,2025-08-16T11:03:27.6944000+01:00
2,2025-08-16T11:03:27.7264128+01:00
3,2025-08-16T11:03:27.7578880+01:00
4,2025-08-16T11:03:27.7890304+01:00
5,2025-08-16T11:03:27.8210176+01:00
6,2025-08-16T11:03:27.8532096+01:00
7,2025-08-16T11:03:27.8852736+01:00
8,2025-08-16T11:03:27.9172096+01:00
9,2025-08-16T11:03:27.9648256+01:00
10,2025-08-16T11:03:27.9979648+01:00
11,2025-08-16T11:03:28.0289792+01:00
12,2025-08-16T11:03:28.0617600+01:00
13,2025-08-16T11:03:28.0927872+01:00
14,2025-08-16T11:03:28.1261056+01:00
15,2025-08-16T11:03:28.1579264+01:00
16,2025-08-16T11:03:28.1889408+01:00
17,2025-08-16T11:03:28.2209408+01:00
18,2025-08-16T11:03:28.2531584+01:00
19,2025-08-16T11:03:28.2849920+01:00
20,2025-08-16T11:03:28.3170688+01:00
21,2025-08-16T11:03:28.3663872+01:00
22,2025-08-16T11:03:28.3979648+01:00
23,2025-08-16T11:03:28.4299776+01:00
24,2025-08-16T11:03:28.4610688+01:00
25,2025-08-16T11:03:28.4931456+01:00
26,2025-08-16T11:03:28.5249408+01:00
27,2025-08-16T11:03:28.5576832+01:00
28,2025-08-16T11:03:28.5897088+01:00
29,2025-08-16T11:03:28.6211712+01:00
30,2025-08-16T11:03:28.6533120+01:00
31,2025-08-16T11:03:28.6849664+01:00
32,2025-08-16T11:03:28.7172864+01:00
33,2025-08-16T11:03:28.7651584+01:00
34,2025-08-16T11:03:28.7972992+01:00
35,2025-08-16T11:03:28.8301440+01:00
36,2025-08-16T11:03:28.8621696+01:00
37,2025-08-16T11:03:28.8930176+01:00
38,2025-08-16T11:03:28.9253120+01:00
39,2025-08-16T11:03:28.9571584+01:00
40,2025-08-16T11:03:28.9891968+01:00
41,2025-08-16T11:03:29.0212608+01:00
42,2025-08-16T11:03:29.0540544+01:00
43,2025-08-16T11:03:29.0859904+01:00
44,2025-08-16T11:03:29.1172480+01:00
45,2025-08-16T11:03:29.1652736+01:00
46,2025-08-16T11:03:29.1969792+01:00
47,2025-08-16T11:03:29.2295040+01:00
48,2025-08-16T11:03:29.2611968+01:00
49,2025-08-16T11:03:29.2940288+01:00
50,2025-08-16T11:03:29.3256448+01:00
51,2025-08-16T11:03:29.3586048+01:00
52,2025-08-16T11:03:29.3902208+01:00
53,2025-08-16T11:03:29.4211840+01:00
54,2025-08-16T11:03:29.4531712+01:00
55,2025-08-16T11:03:29.4850816+01:00
56,2025-08-16T11:03:29.5172992+01:00
57,2025-08-16T11:03:29.5657984+01:00
58,2025-08-16T11:03:29.5993088+01:00
59,2025-08-16T11:03:29.6292096+01:00
60,2025-08-16T11:03:29.6625280+01:00
61,2025-08-16T11:03:29.6939264+01:00
62,2025-08-16T11:03:29.7256064+01:00
63,2025-08-16T11:03:29.7573248+01:00
64,2025-08-16T11:03:29.7892352+01:00
65,2025-08-16T11:03:29.8226432+01:00
66,2025-08-16T11:03:29.8541568+01:00
67,2025-08-16T11:03:29.8854400+01:00
68,2025-08-16T11:03:29.9174528+01:00
69,2025-08-16T11:03:29.9651584+01:00
70,2025-08-16T11:03:29.9981184+01:00
71,2025-08-16T11:03:30.0300416+01:00
72,2025-08-16T11:03:30.0612992+01:00
73,2025-08-16T11:03:30.0931456+01:00
74,2025-08-16T11:03:30.1253248+01:00
75,2025-08-16T11:03:30.1575552+01:00
76,2025-08-16T11:03:30.1894016+01:00
77,2025-08-16T11:03:30.2212480+01:00
78,2025-08-16T11:03:30.2547456+01:00
79,2025-08-16T11:03:30.2852608+01:00
80,2025-08-16T11:03:30.3180544+01:00
81,2025-08-16T11:03:30.3649536+01:00
82,2025-08-16T11:03:30.3981184+01:00
83,2025-08-16T11:03:30.4290560+01:00
84,2025-08-16T11:03:30.4612096+01:00
85,2025-08-16T11:03:30.4931328+01:00
86,2025-08-16T11:03:30.5260416+01:00
87,2025-08-16T11:03:30.5580544+01:00
88,2025-08-16T11:03:30.5897728+01:00
89,2025-08-16T11:03:30.6211840+01:00
90,2025-08-16T11:03:30.6533248+01:00
91,2025-08-16T11:03:30.6858368+01:00
92,2025-08-16T11:03:30.7185280+01:00
93,2025-08-16T11:03:30.7651072+01:00
94,2025-08-16T11:03:30.7970816+01:00
95,2025-08-16T11:03:30.8290560+01:00
96,2025-08-16T11:03:30.8622720+01:00
97,2025-08-16T11:03:30.8932864+01:00
98,2025-08-16T11:03:30.9262336+01:00
99,2025-08-16T11:03:30.9571328+01:00
100,2025-08-16T11:03:30.9890048+01:00
101,2025-08-16T11:03:31.0220416+01:00
102,2025-08-16T11:03:31.0530048+01:00
103,2025-08-16T11:03:31.0859904+01:00
104,2025-08-16T11:03:31.1171328+01:00
105,2025-08-16T11:03:31.1669376+01:00
106,2025-08-16T11:03:31.1978752+01:00
107,2025-08-16T11:03:31.2292608+01:00
108,2025-08-16T11:03:31.2615936+01:00
109,2025-08-16T11:03:31.2933760+01:00
110,2025-08-16T11:03:31.3255040+01:00
111,2025-08-16T11:03:31.3574016+01:00
112,2025-08-16T11:03:31.3903104+01:00
113,2025-08-16T11:03:31.4214272+01:00
114,2025-08-16T11:03:31.4544128+01:00
115,2025-08-16T11:03:31.4861440+01:00
116,2025-08-16T11:03:31.5174912+01:00
