Value,Timestamp
0,2025-08-16T11:05:53.6411776+01:00
1,2025-08-16T11:05:53.6710784+01:00
2,2025-08-16T11:05:53.7031680+01:00
3,2025-08-16T11:05:53.7350784+01:00
4,2025-08-16T11:05:53.7671808+01:00
5,2025-08-16T11:05:53.7992192+01:00
6,2025-08-16T11:05:53.8351232+01:00
7,2025-08-16T11:05:53.8650112+01:00
8,2025-08-16T11:05:53.8952832+01:00
9,2025-08-16T11:05:53.9271936+01:00
10,2025-08-16T11:05:53.9590784+01:00
11,2025-08-16T11:05:54.0072320+01:00
12,2025-08-16T11:05:54.0392704+01:00
13,2025-08-16T11:05:54.0713472+01:00
14,2025-08-16T11:05:54.1051264+01:00
15,2025-08-16T11:05:54.1349376+01:00
16,2025-08-16T11:05:54.1682560+01:00
17,2025-08-16T11:05:54.1988480+01:00
18,2025-08-16T11:05:54.2329728+01:00
19,2025-08-16T11:05:54.2626688+01:00
20,2025-08-16T11:05:54.2947072+01:00
21,2025-08-16T11:05:54.3280000+01:00
22,2025-08-16T11:05:54.3598848+01:00
23,2025-08-16T11:05:54.4070272+01:00
24,2025-08-16T11:05:54.4390784+01:00
25,2025-08-16T11:05:54.4714112+01:00
26,2025-08-16T11:05:54.5035008+01:00
27,2025-08-16T11:05:54.5354624+01:00
28,2025-08-16T11:05:54.5689344+01:00
29,2025-08-16T11:05:54.5991680+01:00
30,2025-08-16T11:05:54.6312832+01:00
31,2025-08-16T11:05:54.6631936+01:00
32,2025-08-16T11:05:54.6960000+01:00
33,2025-08-16T11:05:54.7270272+01:00
34,2025-08-16T11:05:54.7589760+01:00
35,2025-08-16T11:05:54.8070656+01:00
36,2025-08-16T11:05:54.8408576+01:00
37,2025-08-16T11:05:54.8719232+01:00
38,2025-08-16T11:05:54.9032576+01:00
39,2025-08-16T11:05:54.9351424+01:00
40,2025-08-16T11:05:54.9674496+01:00
41,2025-08-16T11:05:54.9993344+01:00
42,2025-08-16T11:05:55.0313600+01:00
43,2025-08-16T11:05:55.0633088+01:00
44,2025-08-16T11:05:55.0969600+01:00
45,2025-08-16T11:05:55.1271296+01:00
46,2025-08-16T11:05:55.1600896+01:00
47,2025-08-16T11:05:55.2069888+01:00
48,2025-08-16T11:05:55.2404096+01:00
49,2025-08-16T11:05:55.2723712+01:00
50,2025-08-16T11:05:55.3029120+01:00
51,2025-08-16T11:05:55.3351296+01:00
52,2025-08-16T11:05:55.3669376+01:00
53,2025-08-16T11:05:55.3992960+01:00
54,2025-08-16T11:05:55.4312832+01:00
55,2025-08-16T11:05:55.4644864+01:00
56,2025-08-16T11:05:55.4962432+01:00
57,2025-08-16T11:05:55.5271680+01:00
58,2025-08-16T11:05:55.5594368+01:00
59,2025-08-16T11:05:55.6074880+01:00
60,2025-08-16T11:05:55.6390656+01:00
61,2025-08-16T11:05:55.6714240+01:00
62,2025-08-16T11:05:55.7046784+01:00
63,2025-08-16T11:05:55.7361664+01:00
64,2025-08-16T11:05:55.7670144+01:00
65,2025-08-16T11:05:55.7989120+01:00
66,2025-08-16T11:05:55.8309632+01:00
67,2025-08-16T11:05:55.8630912+01:00
68,2025-08-16T11:05:55.8952064+01:00
69,2025-08-16T11:05:55.9285120+01:00
70,2025-08-16T11:05:55.9589632+01:00
71,2025-08-16T11:05:56.0085376+01:00
72,2025-08-16T11:05:56.0407040+01:00
73,2025-08-16T11:05:56.0722048+01:00
74,2025-08-16T11:05:56.1033088+01:00
75,2025-08-16T11:05:56.1355264+01:00
76,2025-08-16T11:05:56.1675264+01:00
77,2025-08-16T11:05:56.2009344+01:00
78,2025-08-16T11:05:56.2330624+01:00
79,2025-08-16T11:05:56.2632320+01:00
80,2025-08-16T11:05:56.2952448+01:00
81,2025-08-16T11:05:56.3271936+01:00
82,2025-08-16T11:05:56.3591168+01:00
83,2025-08-16T11:05:56.4075392+01:00
84,2025-08-16T11:05:56.4409728+01:00
