Value,Timestamp
0,2025-08-16T10:59:58.4708352+01:00
1,2025-08-16T10:59:58.5174400+01:00
2,2025-08-16T10:59:58.5492736+01:00
3,2025-08-16T10:59:58.5812224+01:00
4,2025-08-16T10:59:58.6163456+01:00
5,2025-08-16T10:59:58.6460544+01:00
6,2025-08-16T10:59:58.6771328+01:00
7,2025-08-16T10:59:58.7090176+01:00
8,2025-08-16T10:59:58.7417216+01:00
9,2025-08-16T10:59:58.7727488+01:00
10,2025-08-16T10:59:58.8049664+01:00
11,2025-08-16T10:59:58.8372736+01:00
12,2025-08-16T10:59:58.8704512+01:00
13,2025-08-16T10:59:58.9181184+01:00
14,2025-08-16T10:59:58.9490688+01:00
15,2025-08-16T10:59:58.9809664+01:00
16,2025-08-16T10:59:59.0138368+01:00
17,2025-08-16T10:59:59.0455168+01:00
18,2025-08-16T10:59:59.0784640+01:00
19,2025-08-16T10:59:59.1090688+01:00
20,2025-08-16T10:59:59.1408640+01:00
21,2025-08-16T10:59:59.1742208+01:00
22,2025-08-16T10:59:59.2053376+01:00
23,2025-08-16T10:59:59.2368384+01:00
24,2025-08-16T10:59:59.2692736+01:00
25,2025-08-16T10:59:59.3181312+01:00
26,2025-08-16T10:59:59.3494656+01:00
27,2025-08-16T10:59:59.3824128+01:00
28,2025-08-16T10:59:59.4128256+01:00
29,2025-08-16T10:59:59.4465664+01:00
30,2025-08-16T10:59:59.4769024+01:00
31,2025-08-16T10:59:59.5091584+01:00
32,2025-08-16T10:59:59.5429632+01:00
33,2025-08-16T10:59:59.5730688+01:00
34,2025-08-16T10:59:59.6069376+01:00
35,2025-08-16T10:59:59.6391808+01:00
36,2025-08-16T10:59:59.6690944+01:00
37,2025-08-16T10:59:59.7172608+01:00
38,2025-08-16T10:59:59.7493120+01:00
39,2025-08-16T10:59:59.7814272+01:00
40,2025-08-16T10:59:59.8135552+01:00
41,2025-08-16T10:59:59.8472576+01:00
42,2025-08-16T10:59:59.8774144+01:00
43,2025-08-16T10:59:59.9095168+01:00
44,2025-08-16T10:59:59.9418752+01:00
45,2025-08-16T10:59:59.9743872+01:00
46,2025-08-16T11:00:00.0060672+01:00
47,2025-08-16T11:00:00.0376448+01:00
48,2025-08-16T11:00:00.0691840+01:00
49,2025-08-16T11:00:00.1170048+01:00
50,2025-08-16T11:00:00.1492480+01:00
51,2025-08-16T11:00:00.1812480+01:00
52,2025-08-16T11:00:00.2130048+01:00
53,2025-08-16T11:00:00.2466816+01:00
54,2025-08-16T11:00:00.2770688+01:00
55,2025-08-16T11:00:00.3088512+01:00
56,2025-08-16T11:00:00.3423616+01:00
57,2025-08-16T11:00:00.3729664+01:00
58,2025-08-16T11:00:00.4062464+01:00
59,2025-08-16T11:00:00.4386304+01:00
60,2025-08-16T11:00:00.4699008+01:00
61,2025-08-16T11:00:00.5173760+01:00
62,2025-08-16T11:00:00.5494016+01:00
63,2025-08-16T11:00:00.5814272+01:00
64,2025-08-16T11:00:00.6134144+01:00
65,2025-08-16T11:00:00.6469632+01:00
66,2025-08-16T11:00:00.6776448+01:00
67,2025-08-16T11:00:00.7094272+01:00
68,2025-08-16T11:00:00.7414528+01:00
69,2025-08-16T11:00:00.7747456+01:00
70,2025-08-16T11:00:00.8053504+01:00
71,2025-08-16T11:00:00.8372736+01:00
72,2025-08-16T11:00:00.8704384+01:00
73,2025-08-16T11:00:00.9173632+01:00
74,2025-08-16T11:00:00.9494400+01:00
75,2025-08-16T11:00:00.9826560+01:00
76,2025-08-16T11:00:01.0131072+01:00
77,2025-08-16T11:00:01.0467328+01:00
78,2025-08-16T11:00:01.0771840+01:00
79,2025-08-16T11:00:01.1102848+01:00
80,2025-08-16T11:00:01.1410816+01:00
